customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,MonthlyCharges,TotalCharges,Churn
C0072,Female,0,Yes,No,32,Yes,Fiber optic,Month-to-month,24.21,774.72,No
C0073,Male,0,Yes,No,43,Yes,No,Month-to-month,48.77,2097.11,No
C0074,Female,0,No,Yes,2,Yes,Fiber optic,Month-to-month,59.44,118.88,Yes
C0075,Male,0,No,No,60,No,DSL,Two year,100.93,6055.8,Yes
C0076,Female,0,No,No,23,Yes,DSL,Month-to-month,106.6,2451.8,No
C0077,Female,1,No,No,31,Yes,Fiber optic,Two year,59.97,1859.07,No
C0078,Female,0,Yes,Yes,5,Yes,DSL,Two year,87.5,437.5,No
C0079,Male,0,No,No,34,Yes,Fiber optic,Month-to-month,67.85,2306.9,No
C0080,Female,0,No,No,10,Yes,DSL,One year,68.4,684.0,No
C0081,Male,0,No,No,2,Yes,No,Month-to-month,45.03,90.06,Yes
C0082,Female,0,Yes,No,11,Yes,No,Month-to-month,39.53,434.83,No
C0083,Male,0,Yes,No,50,Yes,Fiber optic,Month-to-month,45.92,2296.0,Yes
C0084,Female,1,No,No,31,Yes,No,One year,70.07,2172.17,No
C0085,Male,0,Yes,Yes,56,Yes,Fiber optic,Month-to-month,22.62,1266.72,No
C0086,Male,0,No,No,9,Yes,Fiber optic,Month-to-month,101.65,914.85,Yes
C0087,Female,0,Yes,No,21,Yes,DSL,Month-to-month,34.07,715.47,Yes
C0088,Male,0,Yes,Yes,28,Yes,Fiber optic,Month-to-month,39.81,1114.68,No
C0089,Female,0,Yes,No,62,Yes,Fiber optic,One year,66.64,4131.68,Yes
C0090,Female,1,Yes,No,7,Yes,Fiber optic,One year,83.91,587.37,Yes
C0091,Female,0,No,Yes,16,Yes,Fiber optic,Month-to-month,28.62,457.92,No
C0092,Female,1,No,No,4,Yes,Fiber optic,Month-to-month,48.59,194.36,Yes
C0093,Female,1,No,No,4,Yes,Fiber optic,One year,107.18,428.72,No
C0094,Female,0,Yes,No,40,Yes,DSL,Month-to-month,43.61,1744.4,Yes
C0095,Female,0,No,Yes,17,Yes,No,One year,48.17,818.89,No
C0096,Female,0,No,No,52,Yes,Fiber optic,Month-to-month,95.28,4954.56,No
C0097,Female,0,No,No,52,Yes,DSL,Month-to-month,24.52,1275.04,No
C0098,Female,0,Yes,No,36,Yes,Fiber optic,Month-to-month,61.82,2225.52,No
C0099,Female,0,Yes,No,38,No,DSL,Month-to-month,54.17,2058.46,No
C0100,Male,0,Yes,Yes,50,Yes,Fiber optic,One year,48.49,2424.5,No
C0101,Male,0,No,No,63,Yes,Fiber optic,Month-to-month,45.71,2879.73,No
C0102,Female,1,No,Yes,63,Yes,Fiber optic,One year,28.22,1777.86,No
C0103,Female,0,No,Yes,62,Yes,No,Two year,48.33,2996.46,No
C0104,Female,0,Yes,No,7,Yes,Fiber optic,Month-to-month,23.87,167.09,No
C0105,Female,0,Yes,No,27,Yes,DSL,One year,90.29,2437.83,No
C0106,Female,0,No,No,14,Yes,Fiber optic,Month-to-month,55.84,781.76,No
C0107,Female,0,Yes,No,71,Yes,No,Month-to-month,59.95,4256.45,No
C0108,Female,0,Yes,No,5,Yes,DSL,One year,100.42,502.1,No
C0109,Female,1,Yes,Yes,55,Yes,DSL,Month-to-month,79.22,4357.1,Yes
C0110,Male,0,Yes,No,2,Yes,DSL,One year,20.73,41.46,Yes
C0111,Female,0,No,No,62,Yes,DSL,Month-to-month,104.89,6503.18,No
C0112,Male,0,Yes,No,21,Yes,Fiber optic,One year,41.34,868.14,No
C0113,Female,0,Yes,Yes,21,Yes,Fiber optic,Two year,29.69,623.49,No
C0114,Female,0,Yes,No,10,Yes,DSL,Two year,89.13,891.3,No
C0115,Male,0,Yes,No,58,Yes,Fiber optic,One year,65.04,3772.32,No
C0116,Female,1,No,Yes,39,Yes,DSL,One year,59.04,2302.56,Yes
C0117,Male,0,No,Yes,5,No,No,One year,42.46,212.3,Yes
C0118,Female,0,Yes,No,65,Yes,No,One year,69.27,4502.55,No
C0119,Female,0,Yes,No,13,Yes,DSL,Month-to-month,44.69,580.97,No
C0120,Male,0,Yes,Yes,53,Yes,Fiber optic,Month-to-month,101.14,5360.42,No
C0121,Female,1,Yes,No,45,No,Fiber optic,Month-to-month,39.37,1771.65,No
C0122,Male,1,Yes,Yes,32,Yes,DSL,Two year,99.59,3186.88,No
C0123,Female,0,Yes,No,36,Yes,DSL,Month-to-month,70.35,2532.6,No
C0124,Male,0,No,No,60,Yes,Fiber optic,Month-to-month,94.56,5673.6,No
C0125,Male,0,Yes,No,11,Yes,Fiber optic,Month-to-month,84.16,925.76,Yes
C0126,Female,0,No,No,63,Yes,No,One year,82.7,5210.1,No
C0127,Female,1,No,No,21,No,Fiber optic,One year,49.19,1032.99,No
C0128,Male,0,Yes,Yes,52,Yes,Fiber optic,Month-to-month,41.05,2134.6,No
C0129,Female,0,No,No,55,Yes,Fiber optic,Month-to-month,38.98,2143.9,Yes
C0130,Female,0,No,No,26,Yes,Fiber optic,Two year,97.15,2525.9,No
C0131,Female,1,No,No,68,Yes,Fiber optic,Month-to-month,93.84,6381.12,No
C0132,Male,0,No,Yes,34,Yes,DSL,Month-to-month,59.65,2028.1,No
C0133,Male,0,No,Yes,52,Yes,Fiber optic,One year,31.92,1659.84,Yes
C0134,Male,1,No,Yes,52,Yes,Fiber optic,Two year,54.4,2828.8,No
C0135,Male,0,Yes,No,29,No,DSL,Month-to-month,75.74,2196.46,No
C0136,Male,0,No,No,38,Yes,Fiber optic,One year,60.9,2314.2,No
C0137,Male,1,No,No,42,Yes,DSL,Two year,90.22,3789.24,No
C0138,Male,1,No,No,21,Yes,Fiber optic,Month-to-month,109.79,2305.59,No
C0139,Male,0,Yes,No,42,No,Fiber optic,Two year,37.2,1562.4,No
C0140,Male,0,No,Yes,13,Yes,DSL,One year,61.37,797.81,No
C0141,Female,0,Yes,No,64,Yes,DSL,One year,58.79,3762.56,No
C0142,Male,0,No,No,17,Yes,Fiber optic,One year,47.4,805.8,Yes
C0143,Female,0,Yes,No,9,Yes,Fiber optic,Month-to-month,37.83,340.47,No
C0144,Female,0,Yes,No,41,Yes,DSL,Month-to-month,25.91,1062.31,Yes
C0145,Female,0,No,No,1,Yes,No,Month-to-month,99.84,99.84,Yes
C0146,Male,0,No,No,2,No,DSL,Month-to-month,57.79,115.58,Yes
C0147,Male,0,Yes,Yes,60,Yes,No,Month-to-month,64.72,3883.2,Yes
C0148,Male,0,No,Yes,48,Yes,No,Two year,102.52,4920.96,No
C0149,Male,0,Yes,No,29,Yes,Fiber optic,Two year,89.87,2606.23,No
C0150,Female,0,Yes,No,10,Yes,Fiber optic,One year,31.75,317.5,No
C0151,Male,0,Yes,No,58,Yes,Fiber optic,Two year,70.89,4111.62,Yes
C0152,Male,0,Yes,No,60,Yes,Fiber optic,One year,59.8,3588.0,No
C0153,Male,1,Yes,Yes,21,Yes,DSL,Month-to-month,91.75,1926.75,No
C0154,Male,0,No,Yes,28,Yes,DSL,Month-to-month,85.18,2385.04,No
C0155,Male,0,Yes,No,34,Yes,DSL,Month-to-month,82.14,2792.76,No
C0156,Female,0,Yes,No,8,Yes,Fiber optic,One year,50.65,405.2,Yes
C0157,Male,0,No,Yes,59,Yes,DSL,Month-to-month,92.45,5454.55,No
C0158,Female,0,Yes,No,49,Yes,Fiber optic,One year,24.72,1211.28,Yes
C0159,Male,0,No,Yes,17,Yes,No,Month-to-month,34.37,584.29,No
C0160,Female,0,No,No,60,Yes,DSL,One year,50.21,3012.6,No
C0161,Male,0,No,Yes,45,Yes,Fiber optic,Two year,26.91,1210.95,No
C0162,Male,0,Yes,No,69,Yes,Fiber optic,One year,41.15,2839.35,Yes
C0163,Female,0,Yes,No,32,Yes,Fiber optic,Two year,94.71,3030.72,No
C0164,Female,0,Yes,No,44,Yes,No,Two year,105.34,4634.96,Yes
C0165,Female,0,No,Yes,65,Yes,Fiber optic,Two year,47.41,3081.65,No
C0166,Male,0,Yes,Yes,8,Yes,No,Two year,43.81,350.48,No
C0167,Female,1,No,No,43,Yes,DSL,Two year,45.19,1943.17,No
C0168,Male,0,Yes,No,1,Yes,Fiber optic,One year,44.99,44.99,Yes
C0169,Male,0,No,No,51,Yes,Fiber optic,Month-to-month,23.23,1184.73,Yes
C0170,Female,0,Yes,Yes,24,Yes,DSL,Month-to-month,103.42,2482.08,No
C0171,Female,1,Yes,No,24,Yes,No,One year,39.23,941.52,Yes
C0172,Male,1,Yes,No,17,Yes,DSL,Month-to-month,57.8,982.6,Yes
C0173,Male,0,No,No,5,Yes,Fiber optic,Month-to-month,20.87,104.35,No
C0174,Female,0,No,Yes,20,Yes,DSL,Two year,97.22,1944.4,Yes
C0175,Female,0,Yes,No,21,Yes,Fiber optic,Two year,85.8,1801.8,Yes
C0176,Female,0,Yes,Yes,58,Yes,Fiber optic,Two year,105.21,6102.18,No
C0177,Male,0,No,Yes,31,Yes,Fiber optic,Month-to-month,90.35,2800.85,No
C0178,Male,0,No,No,11,No,Fiber optic,Month-to-month,48.23,530.53,Yes
C0179,Male,1,No,Yes,52,Yes,DSL,Month-to-month,42.31,2200.12,No
C0180,Male,0,Yes,No,15,Yes,Fiber optic,Month-to-month,82.79,1241.85,No
C0181,Male,0,No,No,7,Yes,DSL,Month-to-month,52.77,369.39,No
C0182,Male,0,Yes,No,28,Yes,Fiber optic,Month-to-month,70.96,1986.88,No
C0183,Female,0,No,No,51,Yes,No,Two year,20.56,1048.56,Yes
C0184,Male,0,Yes,Yes,58,Yes,Fiber optic,One year,25.57,1483.06,No
C0185,Male,0,No,No,5,Yes,Fiber optic,Month-to-month,68.18,340.9,No
C0186,Male,0,No,No,5,Yes,Fiber optic,Month-to-month,70.95,354.75,Yes
C0187,Female,0,No,Yes,8,Yes,Fiber optic,Month-to-month,87.63,701.04,Yes
C0188,Male,0,No,No,64,No,Fiber optic,Month-to-month,31.88,2040.32,No
C0189,Male,0,No,Yes,10,Yes,Fiber optic,Two year,66.19,661.9,No
C0190,Female,1,Yes,Yes,38,Yes,DSL,Month-to-month,37.5,1425.0,No
C0191,Male,0,No,No,8,Yes,DSL,Month-to-month,28.39,227.12,No
C0192,Male,0,No,Yes,25,Yes,DSL,Month-to-month,56.94,1423.5,Yes
C0193,Male,1,No,No,66,Yes,Fiber optic,Month-to-month,34.7,2290.2,Yes
C0194,Male,0,Yes,No,50,Yes,DSL,One year,39.96,1998.0,No
C0195,Male,1,No,No,67,Yes,Fiber optic,One year,48.58,3254.86,No
C0196,Female,0,Yes,Yes,49,Yes,DSL,One year,43.34,2123.66,No
C0197,Female,1,No,Yes,36,Yes,DSL,Month-to-month,27.88,1003.68,No
C0198,Female,0,No,Yes,68,Yes,Fiber optic,One year,28.09,1910.12,No
C0199,Male,1,Yes,No,41,Yes,Fiber optic,One year,37.39,1532.99,Yes
C0200,Male,0,No,No,62,Yes,DSL,Two year,24.55,1522.1,No
C0201,Male,1,Yes,Yes,10,Yes,Fiber optic,Month-to-month,76.38,763.8,Yes
C0202,Female,0,Yes,No,21,Yes,DSL,Month-to-month,45.86,963.06,No
C0203,Male,0,No,Yes,36,No,Fiber optic,One year,45.18,1626.48,No
C0204,Male,1,Yes,No,12,Yes,Fiber optic,One year,49.88,598.56,No
C0205,Female,0,No,No,2,Yes,DSL,Month-to-month,79.65,159.3,Yes
C0206,Male,0,No,No,13,Yes,Fiber optic,Month-to-month,98.36,1278.68,Yes
C0207,Female,0,Yes,No,53,Yes,Fiber optic,Month-to-month,88.32,4680.96,No
C0208,Female,0,Yes,No,32,Yes,Fiber optic,Two year,85.48,2735.36,No
C0209,Female,0,Yes,No,16,Yes,DSL,Month-to-month,63.6,1017.6,No
C0210,Male,0,Yes,No,32,Yes,DSL,Two year,82.44,2638.08,No
C0211,Male,1,No,Yes,32,Yes,No,Month-to-month,69.75,2232.0,No
C0212,Male,0,No,No,11,Yes,DSL,Two year,39.46,434.06,No
C0213,Male,0,Yes,No,10,Yes,Fiber optic,Two year,38.77,387.7,No
C0214,Male,1,No,No,15,Yes,Fiber optic,Month-to-month,46.68,700.2,No
C0215,Male,1,No,No,17,Yes,Fiber optic,Two year,101.97,1733.49,No
C0216,Male,0,No,No,40,Yes,DSL,Month-to-month,69.27,2770.8,No
C0217,Female,0,No,No,18,Yes,DSL,Two year,86.05,1548.9,No
C0218,Male,0,Yes,No,55,Yes,Fiber optic,One year,51.19,2815.45,No
C0219,Female,0,Yes,Yes,25,Yes,DSL,Month-to-month,56.69,1417.25,No
C0220,Male,0,No,Yes,59,Yes,DSL,One year,31.3,1846.7,No
C0221,Male,0,Yes,Yes,22,No,DSL,Two year,35.42,779.24,Yes
C0222,Male,0,Yes,Yes,30,Yes,Fiber optic,Month-to-month,94.46,2833.8,No
C0223,Female,0,Yes,No,44,Yes,Fiber optic,One year,72.64,3196.16,Yes
C0224,Female,1,No,Yes,32,Yes,DSL,One year,50.38,1612.16,Yes
C0225,Female,1,No,No,51,Yes,DSL,Two year,92.26,4705.26,No
C0226,Female,0,No,No,46,Yes,DSL,Month-to-month,42.19,1940.74,No
C0227,Male,0,Yes,Yes,21,Yes,Fiber optic,Month-to-month,107.84,2264.64,Yes
C0228,Female,0,No,No,32,No,Fiber optic,Month-to-month,51.03,1632.96,Yes
C0229,Male,0,No,No,39,Yes,Fiber optic,One year,50.36,1964.04,Yes
C0230,Male,0,Yes,No,12,Yes,Fiber optic,Month-to-month,48.07,576.84,No
C0231,Female,0,No,No,47,Yes,Fiber optic,Two year,30.99,1456.53,Yes
C0232,Female,1,No,No,18,Yes,Fiber optic,Month-to-month,30.0,540.0,Yes
C0233,Female,0,Yes,Yes,21,Yes,Fiber optic,One year,78.33,1644.93,No
C0234,Female,1,Yes,No,13,Yes,DSL,Month-to-month,98.76,1283.88,No
C0235,Female,0,Yes,No,21,Yes,DSL,Month-to-month,91.15,1914.15,No
C0236,Female,0,No,No,8,Yes,DSL,Month-to-month,32.7,261.6,Yes
C0237,Female,0,No,Yes,46,Yes,DSL,Month-to-month,69.1,3178.6,No
C0238,Female,1,No,No,7,Yes,No,One year,29.5,206.5,No
C0239,Male,1,Yes,Yes,23,Yes,Fiber optic,Two year,24.08,553.84,No
C0240,Female,0,Yes,Yes,22,Yes,DSL,One year,79.07,1739.54,No
C0241,Female,0,No,Yes,22,Yes,Fiber optic,Two year,68.16,1499.52,No
C0242,Male,0,No,No,29,Yes,Fiber optic,Two year,27.38,794.02,Yes
C0243,Female,0,Yes,No,13,Yes,DSL,One year,23.14,300.82,No
C0244,Male,1,Yes,No,2,Yes,DSL,Two year,109.08,218.16,No
C0245,Male,0,Yes,No,29,Yes,Fiber optic,One year,22.7,658.3,No
C0246,Female,0,Yes,No,52,Yes,Fiber optic,Month-to-month,60.01,3120.52,Yes
C0247,Male,0,No,No,27,Yes,DSL,One year,65.42,1766.34,Yes
C0248,Male,1,Yes,No,50,Yes,DSL,Month-to-month,30.56,1528.0,No
C0249,Male,1,No,No,23,Yes,Fiber optic,One year,35.22,810.06,Yes
C0250,Male,0,No,Yes,44,Yes,DSL,One year,51.66,2273.04,Yes
C0251,Female,0,No,No,22,Yes,Fiber optic,Month-to-month,88.55,1948.1,No
C0252,Male,0,Yes,No,43,Yes,Fiber optic,Month-to-month,65.64,2822.52,No
C0253,Female,0,Yes,No,37,Yes,DSL,Two year,77.41,2864.17,No
C0254,Male,0,Yes,No,61,Yes,No,One year,108.67,6628.87,No
C0255,Male,1,Yes,No,56,Yes,Fiber optic,Month-to-month,89.12,4990.72,No
C0256,Male,0,No,No,3,Yes,DSL,One year,59.09,177.27,Yes
C0257,Male,1,Yes,No,63,Yes,Fiber optic,One year,60.18,3791.34,Yes
C0258,Female,1,Yes,No,19,No,Fiber optic,Month-to-month,75.69,1438.11,No
C0259,Female,0,No,Yes,23,Yes,Fiber optic,Two year,79.88,1837.24,No
C0260,Male,0,Yes,No,29,Yes,DSL,One year,65.06,1886.74,No
C0261,Male,1,No,No,30,Yes,No,Month-to-month,78.04,2341.2,Yes
C0262,Female,1,No,Yes,39,Yes,Fiber optic,Two year,22.12,862.68,No
C0263,Male,0,No,No,25,Yes,DSL,Two year,58.67,1466.75,No
C0264,Male,0,No,No,8,Yes,DSL,Month-to-month,45.1,360.8,No
C0265,Male,0,No,No,58,Yes,DSL,Month-to-month,31.63,1834.54,No
C0266,Female,1,No,Yes,16,Yes,Fiber optic,Month-to-month,28.96,463.36,No
C0267,Female,0,No,No,1,Yes,DSL,One year,74.29,74.29,No
C0268,Female,0,No,No,5,Yes,DSL,One year,67.12,335.6,No
C0269,Male,0,Yes,Yes,3,Yes,Fiber optic,One year,42.82,128.46,Yes
C0270,Male,0,Yes,Yes,65,Yes,DSL,Two year,62.39,4055.35,No
C0271,Female,0,Yes,No,4,Yes,DSL,One year,64.3,257.2,No
C0272,Female,0,Yes,Yes,64,Yes,DSL,Month-to-month,37.55,2403.2,Yes
C0273,Female,0,No,No,10,Yes,DSL,Month-to-month,78.69,786.9,Yes
C0274,Female,0,Yes,No,21,No,DSL,Month-to-month,90.28,1895.88,No
C0275,Male,0,No,Yes,46,Yes,Fiber optic,Month-to-month,91.23,4196.58,No
C0276,Female,0,Yes,No,27,No,DSL,One year,74.22,2003.94,No
C0277,Male,1,Yes,No,66,Yes,DSL,Two year,66.05,4359.3,Yes
C0278,Female,0,Yes,No,41,Yes,Fiber optic,Month-to-month,25.49,1045.09,No
C0279,Male,0,No,No,13,Yes,Fiber optic,One year,45.9,596.7,No
C0280,Female,1,Yes,No,9,Yes,Fiber optic,One year,28.39,255.51,No
C0281,Female,0,No,Yes,36,No,Fiber optic,Month-to-month,106.74,3842.64,No
C0282,Female,0,No,No,58,Yes,DSL,Month-to-month,32.16,1865.28,No
C0283,Female,0,Yes,No,54,Yes,Fiber optic,Month-to-month,33.66,1817.64,No
C0284,Male,0,Yes,Yes,12,Yes,Fiber optic,Month-to-month,100.06,1200.72,No
C0285,Female,0,Yes,No,14,Yes,DSL,Two year,104.95,1469.3,No
C0286,Male,0,No,No,34,Yes,No,Month-to-month,88.92,3023.28,Yes
C0287,Male,0,Yes,No,53,Yes,DSL,Month-to-month,20.49,1085.97,No
C0288,Male,0,No,Yes,20,Yes,Fiber optic,Month-to-month,20.12,402.4,No
C0289,Male,0,No,No,16,Yes,DSL,Two year,54.03,864.48,Yes
C0290,Female,0,Yes,No,70,Yes,Fiber optic,Month-to-month,32.91,2303.7,No
C0291,Male,0,Yes,Yes,56,Yes,Fiber optic,Month-to-month,21.65,1212.4,Yes
C0292,Male,0,No,Yes,58,Yes,Fiber optic,Month-to-month,61.77,3582.66,Yes
C0293,Male,0,No,Yes,4,No,DSL,Month-to-month,104.88,419.52,Yes
C0294,Female,1,No,No,4,Yes,Fiber optic,Month-to-month,49.14,196.56,Yes
C0295,Female,0,Yes,No,20,Yes,Fiber optic,One year,79.5,1590.0,Yes
C0296,Female,0,No,No,10,Yes,Fiber optic,Month-to-month,78.7,787.0,Yes
C0297,Female,0,Yes,No,24,Yes,Fiber optic,Month-to-month,42.6,1022.4,No
C0298,Male,0,No,Yes,26,Yes,Fiber optic,Two year,78.54,2042.04,Yes
C0299,Male,0,No,No,37,No,Fiber optic,Month-to-month,39.11,1447.07,No
C0300,Female,1,Yes,No,54,Yes,DSL,Month-to-month,30.98,1672.92,Yes
C0301,Male,1,No,Yes,21,No,Fiber optic,Month-to-month,83.12,1745.52,No
C0302,Male,0,Yes,Yes,38,Yes,DSL,Two year,30.21,1147.98,No
C0303,Male,1,Yes,Yes,46,Yes,No,Month-to-month,109.72,5047.12,No
C0304,Female,0,No,No,4,Yes,Fiber optic,Two year,36.51,146.04,No
C0305,Female,0,Yes,No,60,Yes,No,One year,73.47,4408.2,No
C0306,Male,0,Yes,No,57,Yes,DSL,Month-to-month,57.02,3250.14,No
C0307,Female,1,No,No,45,Yes,Fiber optic,Two year,31.37,1411.65,No
C0308,Female,0,Yes,No,20,Yes,Fiber optic,Month-to-month,22.51,450.2,Yes
C0309,Female,0,Yes,No,17,Yes,Fiber optic,Month-to-month,76.05,1292.85,No
C0310,Female,0,Yes,No,71,Yes,Fiber optic,Two year,92.61,6575.31,No
C0311,Female,0,No,Yes,4,Yes,DSL,One year,95.78,383.12,No
C0312,Male,0,Yes,Yes,14,Yes,Fiber optic,One year,63.44,888.16,No
C0313,Female,0,No,Yes,3,Yes,Fiber optic,Month-to-month,89.97,269.91,Yes
C0314,Male,0,No,Yes,58,Yes,DSL,Month-to-month,80.56,4672.48,No
C0315,Male,0,Yes,No,55,Yes,DSL,One year,85.18,4684.9,Yes
C0316,Female,0,Yes,No,4,Yes,No,Month-to-month,64.33,257.32,Yes
C0317,Male,0,Yes,Yes,24,Yes,Fiber optic,Month-to-month,77.01,1848.24,Yes
C0318,Male,0,No,Yes,34,No,No,Month-to-month,92.5,3145.0,No
C0319,Male,0,Yes,No,30,Yes,Fiber optic,Month-to-month,55.81,1674.3,No
C0320,Female,1,Yes,No,19,Yes,DSL,Two year,92.54,1758.26,No
C0321,Female,0,Yes,No,31,Yes,DSL,Month-to-month,73.28,2271.68,No
C0322,Male,0,Yes,No,60,Yes,DSL,Two year,34.93,2095.8,No
C0323,Female,0,Yes,Yes,60,Yes,DSL,Month-to-month,22.22,1333.2,No
C0324,Female,0,No,Yes,19,Yes,DSL,One year,52.65,1000.35,No
C0325,Female,0,No,No,49,Yes,DSL,Month-to-month,69.2,3390.8,No
C0326,Female,0,Yes,No,63,Yes,Fiber optic,Month-to-month,95.58,6021.54,No
C0327,Male,0,Yes,Yes,22,Yes,No,Month-to-month,31.47,692.34,No
